aX,aY,aZ,gX,gY,gZ
0.951,0.257,0.119,-48.950,52.307,-7.874
0.973,0.272,0.210,-40.649,49.561,-5.676
0.969,0.255,0.193,-33.264,35.461,4.517
0.935,0.227,0.159,-28.198,22.888,11.414
0.929,0.232,0.139,-15.930,18.555,12.756
0.917,0.200,0.130,-6.531,18.311,15.991
0.940,0.177,0.113,-3.052,15.320,19.287
0.964,0.185,0.112,-3.723,8.850,20.447
0.985,0.216,0.115,-5.310,2.563,18.494
0.974,0.232,0.124,-2.808,0.061,14.954
0.947,0.243,0.146,3.723,0.671,10.010
0.943,0.249,0.148,11.108,2.502,5.249
0.934,0.253,0.123,18.372,5.310,3.052
0.935,0.233,0.100,26.245,10.742,2.930
0.954,0.206,0.077,32.227,16.663,4.395
1.007,0.176,0.093,32.410,21.240,7.812
1.056,0.193,0.068,29.175,29.968,12.817
1.189,0.236,0.115,28.992,35.278,15.686
1.298,0.195,0.201,30.273,33.020,19.409
1.406,0.275,0.150,24.414,17.517,20.264
1.534,0.308,0.151,20.996,2.686,21.729
1.610,0.317,0.143,25.391,-6.714,24.414
1.706,0.241,0.153,27.954,-14.404,25.452
1.846,0.265,0.111,22.339,-23.193,22.949
1.922,0.316,0.052,13.123,-28.809,19.592
1.968,0.371,0.014,3.723,-26.123,12.085
2.006,0.496,0.030,-2.441,-13.550,1.404
2.040,0.594,0.025,-5.981,0.183,-4.761
2.076,0.652,0.081,-7.629,15.381,-11.292
2.109,0.680,0.127,-7.996,26.611,-19.226
2.114,0.679,0.199,-7.690,30.884,-27.649
2.110,0.694,0.213,-7.141,24.170,-39.246
2.039,0.690,0.194,-5.188,10.254,-49.011
1.922,0.651,0.189,0.244,-1.282,-55.420
1.807,0.570,0.191,8.118,-7.935,-60.303
1.698,0.443,0.192,13.245,-10.559,-65.002
1.556,0.347,0.147,13.000,-10.071,-72.815
1.438,0.274,0.105,9.277,-2.991,-82.458
1.363,0.282,0.100,3.540,11.902,-93.140
1.276,0.317,0.104,-0.671,27.771,-101.990
1.207,0.274,0.107,-3.662,38.025,-105.591
1.185,0.193,0.106,-5.920,42.969,-106.934
1.151,0.182,0.100,-8.362,43.579,-108.459
1.055,0.186,0.095,-11.719,39.551,-105.469
0.967,0.171,0.117,-13.916,34.546,-97.595
0.893,0.141,0.146,-12.939,27.954,-89.294
0.805,0.099,0.129,-11.353,20.264,-83.557
0.721,0.089,0.078,-10.193,19.043,-81.665
0.662,0.083,0.043,-9.949,25.879,-81.909
0.638,0.051,0.031,-12.939,35.583,-81.299
0.610,0.055,0.035,-17.273,43.823,-82.031
0.573,0.057,0.067,-20.752,48.462,-85.205
0.521,0.069,0.080,-22.949,47.546,-88.928
0.458,0.074,0.064,-23.926,44.495,-91.431
0.404,0.019,0.055,-21.667,43.518,-92.163
0.366,0.058,0.049,-21.606,44.373,-93.506
0.308,0.083,0.020,-26.184,44.922,-92.346
0.279,0.078,0.004,-30.212,46.814,-87.463
0.305,0.064,0.024,-31.616,51.086,-81.909
0.296,0.081,0.022,-33.203,51.331,-77.271
0.279,0.104,0.021,-34.485,48.096,-73.792
0.270,0.117,0.026,-33.630,45.288,-71.899
0.238,0.100,0.023,-29.602,42.114,-68.726
0.187,0.060,0.027,-24.963,37.354,-64.331
0.149,-0.010,0.045,-21.545,33.752,-58.105
0.107,-0.066,0.031,-18.860,30.640,-51.697
0.066,-0.087,0.011,-17.334,29.480,-45.471
0.042,-0.101,-0.008,-16.418,31.616,-37.842
0.031,-0.111,-0.033,-15.503,34.058,-30.090
0.034,-0.109,-0.047,-15.442,35.095,-23.865
0.050,-0.095,-0.034,-14.832,34.485,-18.250
0.049,-0.080,-0.005,-10.925,30.701,-12.024
0.062,-0.081,0.012,-4.761,22.644,-5.249
0.100,-0.088,0.011,2.686,11.353,2.014
0.077,-0.112,-0.003,12.695,-1.587,9.399
0.052,-0.170,-0.027,22.156,-13.733,17.273
0.040,-0.239,-0.033,27.954,-22.278,25.146
0.009,-0.313,-0.035,30.396,-25.635,33.997
0.013,-0.383,-0.012,29.114,-27.527,42.847
0.030,-0.400,0.003,23.560,-30.334,50.781
0.029,-0.360,0.027,18.372,-30.945,57.251
0.029,-0.282,0.044,16.174,-29.358,64.331
0.054,-0.183,0.053,15.808,-25.696,71.533
0.134,-0.069,0.066,17.944,-21.667,77.820
0.244,0.009,0.067,23.437,-19.531,83.862
0.358,0.051,0.062,30.640,-20.325,89.661
0.478,0.080,0.046,38.330,-25.024,96.191
0.574,0.020,0.010,47.791,-30.334,101.074
0.635,-0.052,-0.011,53.223,-35.339,101.257
0.651,-0.099,-0.032,52.917,-40.466,98.816
0.647,-0.142,-0.059,50.354,-44.678,97.168
0.643,-0.119,-0.106,42.480,-46.875,97.229
0.679,-0.019,-0.130,30.579,-47.119,100.281
0.749,0.115,-0.118,18.799,-45.715,106.445
0.869,0.250,-0.092,10.071,-41.809,110.901
1.040,0.336,-0.048,4.150,-35.095,110.352
1.140,0.318,-0.019,3.113,-25.513,103.088
1.196,0.307,0.019,3.906,-14.343,91.125
1.262,0.284,0.058,5.859,-6.714,76.782
1.284,0.216,0.083,13.550,-8.240,65.430
1.314,0.113,0.062,20.447,-16.663,60.791
1.219,0.080,-0.103,19.531,-22.034,62.012
1.409,0.263,0.087,17.517,-15.198,69.580
1.331,0.314,-0.014,2.747,-33.142,96.924
1.438,0.253,-0.073,2.808,-40.222,97.229
1.638,0.342,-0.008,7.935,-32.471,82.703
1.677,0.459,0.052,4.211,-36.194,79.773
1.610,0.445,0.061,-0.977,-56.519,80.627
1.587,0.448,0.104,2.930,-70.007,70.129
1.539,0.469,0.145,9.155,-73.486,56.702
1.433,0.437,0.130,9.460,-74.219,51.392
1.383,0.374,0.101,4.333,-69.031,49.438
1.399,0.364,0.080,-3.174,-53.162,44.434
1.432,0.393,0.073,-10.376,-30.823,37.964
1.490,0.416,0.087,-16.479,-8.850,31.433
1.527,0.394,0.091,-22.095,6.531,26.917
1.567,0.366,0.106,-26.367,16.663,19.531
1.579,0.375,0.108,-27.344,20.996,10.315
1.600,0.348,0.145,-26.184,19.653,3.479

0.856,0.246,0.148,-11.169,7.874,5.127
0.920,0.224,0.137,-10.010,13.062,9.583
0.931,0.227,0.180,-2.563,18.372,15.259
0.964,0.227,0.140,-1.587,16.907,19.531
0.986,0.198,0.115,-0.183,11.719,21.973
1.000,0.189,0.110,-0.183,7.141,22.400
1.023,0.206,0.140,-1.831,1.892,19.897
1.055,0.246,0.200,-1.953,-2.991,16.113
1.060,0.308,0.282,2.625,-6.470,10.132
1.061,0.367,0.367,13.794,-6.592,3.906
1.074,0.319,0.342,30.884,-1.526,-1.404
1.148,0.248,0.275,46.936,8.911,-5.249
1.276,0.213,0.236,52.856,17.090,-3.967
1.422,0.210,0.244,49.866,17.639,4.150
1.577,0.249,0.269,43.518,15.991,13.245
1.720,0.341,0.353,32.654,18.799,15.625
1.875,0.417,0.203,21.973,25.452,10.437
1.990,0.505,0.224,22.461,41.504,3.113
2.071,0.593,0.175,20.630,56.213,0.000
2.142,0.618,0.143,19.409,67.505,0.671
2.225,0.645,0.106,18.860,75.134,-0.732
2.292,0.652,0.077,15.869,77.454,-4.761
2.315,0.668,0.030,11.780,73.425,-12.756
2.308,0.682,0.011,8.911,66.650,-24.048
2.243,0.662,-0.020,8.423,59.326,-36.316
2.150,0.598,-0.044,9.277,53.223,-48.401
2.017,0.543,-0.055,8.667,48.279,-59.753
1.859,0.497,-0.046,4.700,44.678,-70.251
1.717,0.458,-0.023,-0.427,44.800,-79.712
1.586,0.428,-0.009,-2.869,47.974,-89.844
1.451,0.409,-0.010,-3.418,51.636,-96.375
1.336,0.351,-0.031,-3.845,54.626,-99.243
1.241,0.314,-0.056,-2.380,58.716,-100.037
1.146,0.317,-0.058,-1.953,62.561,-96.741
1.025,0.316,-0.017,-0.793,65.247,-87.341
0.922,0.229,-0.012,1.282,62.744,-76.294
0.836,0.163,-0.016,-2.869,55.969,-68.542
0.754,0.157,-0.027,-11.475,46.387,-65.735
0.649,0.177,-0.026,-17.700,39.185,-63.843
0.618,0.175,-0.034,-19.958,39.551,-59.875
0.573,0.170,-0.042,-26.428,42.236,-61.646
0.500,0.141,-0.048,-33.813,47.058,-68.481
0.429,0.112,-0.058,-43.518,53.528,-78.796
0.352,0.150,-0.044,-56.519,61.340,-89.783
0.290,0.157,0.004,-69.519,67.993,-96.802
0.262,0.136,0.047,-77.698,71.411,-100.098
0.228,0.133,0.077,-79.712,69.336,-101.196
0.172,0.127,0.101,-76.050,62.500,-99.365
0.093,0.108,0.113,-67.505,52.979,-95.276
0.016,0.060,0.099,-57.617,42.847,-89.050
-0.042,0.003,0.080,-49.683,34.546,-81.604
-0.075,-0.051,0.058,-45.105,29.785,-74.158
-0.094,-0.080,0.037,-44.617,28.442,-65.857
-0.101,-0.084,0.034,-46.143,30.090,-57.251
-0.096,-0.067,0.039,-48.279,33.081,-48.828
-0.071,-0.044,0.049,-49.194,35.034,-38.513
-0.024,-0.041,0.064,-46.753,33.752,-28.442
0.038,-0.048,0.084,-39.856,30.640,-21.545
0.089,-0.064,0.095,-28.931,25.208,-15.259
0.123,-0.066,0.075,-16.296,16.602,-8.423
0.132,-0.081,0.043,-4.089,6.775,-2.747
0.136,-0.122,-0.004,6.226,0.366,0.671
0.142,-0.160,-0.045,10.437,-5.554,3.113
0.138,-0.139,-0.070,10.010,-11.414,7.324
0.127,-0.112,-0.084,7.935,-15.686,13.428
0.146,-0.057,-0.091,6.226,-18.555,20.386
0.186,-0.047,-0.068,6.287,-20.386,28.687
0.270,-0.056,-0.036,9.216,-22.217,33.447
0.325,-0.071,-0.021,13.428,-24.292,35.583
