aX,aY,aZ,gX,gY,gZ
1.000,0.108,-0.155,5.493,-11.536,-15.137
0.982,0.111,-0.231,0.000,-5.371,-14.465
0.939,0.060,-0.167,-5.432,3.357,-9.277
1.010,-0.003,-0.034,-14.343,8.789,-2.502
1.019,-0.015,-0.044,-14.526,2.808,4.150
1.067,-0.061,-0.087,-10.559,-12.634,9.888
1.046,-0.053,-0.152,-5.249,-31.433,13.733
1.040,-0.070,-0.191,-1.770,-45.471,16.785
1.046,-0.083,-0.155,2.136,-54.565,20.752
1.015,-0.059,-0.099,12.085,-58.105,19.653
0.959,-0.029,-0.016,23.499,-52.795,16.052
0.948,-0.016,0.068,37.170,-38.513,7.996
0.988,-0.079,0.040,54.993,-19.836,-1.038
1.079,-0.235,-0.093,68.237,-3.784,-7.935
1.230,-0.415,-0.138,66.345,4.456,-11.047
1.304,-0.552,-0.070,44.983,1.404,-10.620
1.355,-0.579,-0.233,21.973,-8.301,-5.554
1.370,-0.788,-0.172,26.123,-10.559,5.127
1.314,-0.918,-0.052,47.180,-0.488,21.179
1.407,-0.876,0.164,72.388,17.761,40.161
1.563,-0.911,0.109,80.688,34.119,35.095
1.436,-0.877,-0.008,91.309,42.542,37.048
1.393,-0.907,-0.028,114.624,52.917,44.983
1.407,-0.873,-0.042,139.832,63.232,54.810
1.580,-1.215,-0.172,165.649,72.632,74.341
1.757,-1.810,-0.289,165.222,75.378,88.135
1.717,-1.862,-0.535,124.817,70.007,88.196
1.435,-1.769,-0.797,60.791,65.430,84.229
1.185,-1.582,-0.482,-19.775,71.228,109.436
1.251,-0.999,-0.169,-92.896,79.529,138.611
1.768,-0.528,-0.330,-85.205,61.890,104.614
1.697,-0.500,-0.452,-0.122,37.903,32.837
1.049,-0.771,-0.512,62.317,12.939,0.244
0.512,-0.643,-0.593,70.007,2.502,7.324
0.303,-0.155,-0.527,44.983,8.118,12.756
0.136,0.216,-0.456,36.682,9.216,4.211
-0.035,0.449,-0.468,59.204,-5.493,4.211
0.080,0.801,-0.557,83.130,-21.423,28.687
0.014,1.113,-0.747,76.233,-19.653,51.392
-0.273,1.258,-0.873,19.531,3.967,70.984
-0.355,1.590,-0.708,-77.698,37.415,92.224
-0.398,2.090,-0.365,-156.799,42.358,109.924
-0.357,2.515,-0.016,-180.054,8.728,128.113
-0.148,2.714,0.232,-161.072,-33.508,146.057
0.247,2.716,0.393,-135.193,-56.580,153.870
0.491,2.574,0.550,-115.540,-69.641,152.039
0.527,2.348,0.426,-87.280,-88.013,139.160
0.894,2.446,1.245,-57.739,-106.628,104.553
1.250,2.428,0.795,-18.005,-183.960,50.964
1.538,2.118,0.679,37.476,-250.366,9.827
1.443,1.666,0.819,76.111,-265.015,-5.981
0.951,1.452,0.923,74.219,-243.408,-13.733
0.495,1.365,0.625,52.063,-208.496,-22.888
0.164,1.153,0.460,49.316,-147.827,-23.926
0.025,1.020,0.346,62.439,-69.458,-18.127
0.147,0.928,0.239,80.200,6.165,-18.311
0.274,0.888,0.193,95.459,60.730,-22.400
0.401,0.897,0.172,102.417,82.703,-21.362
0.407,0.996,0.104,102.417,74.829,-20.630
0.343,1.080,0.074,102.539,58.655,-22.461
